,Product,Price,Size,Price per Unit,Serving size,Calories,Total Fat,Total Fat(g),Saturated fat,Saturated Fat(g),Trans Fat(g),Cholesterol,Cholesterol(mg),Sodium,Sodium(mg),Total Carbohydrates,Total Carbohydrates(g),Dietery Fiber,Dietery Fiber(g),Sugars(g),Protein(g),Vitamin A,Vitamin C,Calcium,Calcium(mg),Iron,Iron(mg),Potassium,Potassium(mg)
137,blondie bar baking mix,$2.99 ,15.5 oz,$0.19/oz,.1 pkg dry mix,130,4%,2.5,8%,1.5,0,0%,0,8%,190,8%,25,2%,0.5,15,1,0%,0%,1%,0,7%,0,0,0
138,bloody mary salsa,$2.69 ,16 oz,$0.17/oz,2 tbsp,10,0%,0,0%,0,0,0%,0,3%,70,1%,2,0%,0,1,0,0,0,0,0,0,0,0,0
139,blue agave sweetner,$3.29 ,11.75 oz,$0.28/oz,1 tbsp,60,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
140,organic blue corn & wheat tortillas,$2.69 ,8.7 oz,$0.31/oz,1 tortillas,90,1%,1,0%,0,0,0%,0,7%,150,6%,16,7%,2,0,4,0,0,9%,120,3%,1,0%,0
141,blueberries,$1.99 ,12 oz,$0.17/oz,1 cup frozen,70,2%,1,0%,0,0,0%,0,0%,0,6%,17,16%,4,12,1,2%,6%,1%,0,2%,0,0,0
142,fresh blueberries,$2.29 ,1 ea,$2.29/ea,1 tbsp,50,0%,0,0,0,0,0,0,0,0,5%,13,0,0,12,0,0,0,0,0,0,0,0,0
143,100% blueberry juice,$4.99 ,32 fl oz,$0.16/fl oz,8 fl oz,100,0%,0,0%,0,0,0%,0,1%,15,8%,24,0%,0,19,0,0,0,0,0,0,0,0,0
144,"almond beverage, blueberry lavender",$2.29 ,1 ea,$2.29/ea,1 cup,60,3%,2.5,0%,0,0,0%,0,4%,100,3%,9,2%,0.5,7,1,0,0,0,0,0,0,0,0
145,blueberry muffins,$4.49 ,18 oz,$0.25/oz,1 muffins ,360,22%,14,8%,1.5,0,10%,30,15%,360,17%,51,4%,1,23,5,0%,2%,6%,0,8%,0,0,0
146,gluten free blueberrt muffins,$4.99 ,4 ct,$1.25/ct,1 muffins ,260,17%,11,5%,1,0,13%,40,15%,370,13%,39,8%,2,22,4,2%,0%,4%,0,4%,0,0,0
147,bolognese style pasta sauce,$3.99 ,24 oz,$0.17/oz,0.5 cup,70,5%,4,5%,1,0,3%,10,22%,500,2%,6,4%,1,3,4,0,0,0,0,0,0,0,0
148,italian bomba hot pepper sauce,$3.29 ,6.7 oz,$0.49/oz,2 tbsp,60,8%,6,3%,0.5,0,0%,0,8%,190,0%,1,0%,0,1,0,0,0,0,0,0,0,0,0
149,ice cream bon bons,$0.00 ,1 ea,$0.00/ea,1 bon bon,60,6%,4,13%,2.5,0,2%,5,1%,15,2%,7,0%,0,5,1,0%,0%,8%,0,4%,0,0,0
150,boneless pork tenderloin,$4.49 ,1 lb,$4.49/lb,3.5 oz,130,8%,5,10%,2,0,22%,65,2%,50,0%,0,0%,0,0,21,0%,0%,0%,0,8%,0,0,0
151,Fresh atlantic Salmon boneless fillet,$9.99 ,1 lb,$9.99/lb,4 oz,230,19%,15,18%,3.5,0,20%,60,3%,65,0%,0,0%,0,0,23,0,0,0,0,0,0,0,0
152,boneless heirloom chicken thighs,$6.99 ,1 lb,$6.99/lb,4 oz,170,12%,9,13%,2.5,0,42%,125,0%,0,0%,0,0%,0,0,21,0,0,0,0,0,0,0,0
153,bran flakes,$2.29 ,12 oz,$0.19/oz,0.8 cup,100,1%,0.5,0%,0,0,0%,0,9%,220,8%,24,20%,5,6,9,35%,35%,0%,0,45%,0,0,0
154,Branzino fillet european sea bass,$9.99 ,16 oz,$0.62/oz,1 fillet ,110,3%,2.5,3%,0.5,0,15%,45,3%,75,0%,0,0%,0,0,21,0,0,0,0,0,0,0,0
155,raw brazil nuts,$7.99 ,12 oz,$0.67/oz,7 pieces,170,29%,19,23%,4.5,0,0%,0,0%,0,1%,4,8%,2,1,4,0%,0%,4%,0,6%,0,0,0
156,breaded chicken tenderloin,$7.99 ,28 oz,$0.29/oz,3 oz,200,14%,9,13%,2.5,0,13%,40,17%,400,5%,14,0%,0,0,15,2%,0%,0%,0,3%,0,0,0
157,breaded mozarella cheese stick,$4.49 ,16 oz,$0.28/oz,3 pieces,260,19%,15,35%,7,0,8%,25,21%,480,7%,18,0%,0,1,13,0,0,0,0,0,0,0,0
158,breaded fried ravioli,$3.99 ,16 oz,$0.25/oz,4 ravioli,240,13%,10,15%,3,0,5%,15,27%,630,11%,30,7%,2,3,7,0,0,0,0,0,0,0,0
159,gluten free breaded shrimp,$9.99 ,12 oz,$0.83/oz,.3 package,260,21%,16,35%,7,0,30%,90,21%,480,5%,13,7%,2,1,7,0,0,0,0,0,0,0,0
160,gluten free brioche bread,$3.99 ,15 oz,$0.27/oz,1 slice,120,4%,3,8%,1.5,0,7%,20,8%,190,7%,20,4%,1,5,2,0,0,0,0,0,0,0,0
161,brioche buns,$3.99 ,9.45 oz,$0.42/oz,1 brioche,280,14%,9,23%,4.5,0,17%,50,18%,440,15%,44,12%,3,5,6,6%,0%,2%,0,15%,0,0,0
162,brioche hotdog buns,$2.99 ,16 oz,$0.19/oz,1 roll,170,3%,2.5,5%,1,0,3%,10,10%,230,12%,32,2%,0.5,5,5,0,0,0,0,0,0,0,0
163,brioche toasts,$1.99 ,5.26 oz,$0.38/oz,4 slices,140,5%,3.5,0%,0,0,3%,10,7%,160,8%,24,4%,1,4,3,0%,6%,2%,0,4%,0,0,0
164,british style crumpets,$2.99 ,11 oz,$0.27/oz,1 crumpet,100,0%,0,0%,0,0,0%,0,11%,260,8%,22,2%,0.5,0,3,0,0,0,0,0,0,0,0
